,Number,"City,CountryCode",Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
561,562,"rengo, cl",44.6,87,92,3.36
562,563,"ambilobe, mg",68.04,74,0,11.48
563,564,"oyama, jp",91.4,63,20,10.29
564,565,"pastavy, by",65.61,81,0,8.68
565,566,"tonder, dk",60.19,72,40,6.93
566,567,"kargat, ru",58.59,99,0,4.65
567,568,"la tuque, ca",69.39,86,100,4.43
568,569,"kamenka, ru",70.65,54,0,5.1
569,570,"namibe, ao",63.9,100,0,13.38
570,571,"pochutla, mx",80.6,74,90,12.71
571,572,"vetluzhskiy, ru",58.77,98,56,3.42
572,573,"gizo, sb",78.93,100,92,16.96
573,574,"aleksandrov gay, ru",74.34,60,32,2.98
574,575,"constantine, dz",66.2,93,40,2.24
575,576,"diapaga, bf",72.99,94,32,7.67
576,577,"halifax, ca",69.8,100,75,3.36
577,578,"batsfjord, no",54.18,100,92,0.63
578,579,"sibu, my",86.0,66,75,5.82
579,580,"brae, gb",52.81,76,92,12.75
580,581,"ilanskiy, ru",71.64,81,8,4.21
581,582,"rexburg, us",68.99,26,1,4.7
582,583,"careiro da varzea, br",74.48,88,0,2.24
583,584,"hualmay, pe",54.36,97,44,5.66
584,585,"chimoio, mz",59.0,93,80,4.7
585,586,"lorengau, pg",77.04,100,88,4.43
586,587,"vradiyivka, ua",62.91,85,0,4.88
587,588,"fort saint james, ca",66.15,59,0,2.75
588,589,"san antonio, cl",48.2,87,0,2.98
589,590,"sosnovo-ozerskoye, ru",67.05,90,88,6.78
590,591,"lichuan, cn",83.52,65,8,2.19
591,592,"lamu, ke",76.41,90,92,14.61
592,593,"tshela, cd",66.15,87,56,5.1
593,594,"san francisco, ar",40.32,75,0,7.45
594,595,"georgetown, gy",76.41,90,32,5.66
595,596,"tahe, cn",73.26,59,0,3.42
596,597,"nyrob, ru",53.73,61,0,5.99
597,598,"ponta delgada, pt",71.6,78,75,10.29
598,599,"rapar, in",81.18,79,92,15.05
599,600,"karlovac, hr",62.6,100,0,1.12
600,601,"prachuap khiri khan, th",76.32,92,88,7.0
601,602,"jalingo, ng",69.66,100,92,3.98
602,603,"caraballeda, ve",77.85,100,92,10.92
603,604,"solnechnyy, ru",77.85,54,0,3.42
604,605,"tessalit, ml",79.29,58,0,2.86
605,606,"sosua, do",79.59,88,20,12.48
606,607,"belaya gora, ru",55.08,61,0,10.69
607,608,"matongo, tz",55.44,89,0,6.11
608,609,"svetlogorsk, ru",62.6,82,75,6.71
609,610,"voyvozh, ru",53.28,60,44,4.43
610,611,"dingli, mt",77.0,88,20,1.12
611,612,"kungurtug, ru",61.83,75,0,3.65
612,613,"titlagarh, in",77.22,94,56,7.45
613,614,"paragominas, br",73.62,93,8,4.43
614,615,"uyovu, tz",56.16,85,0,8.57
615,616,"pitimbu, br",71.6,94,20,4.7
616,617,"izhma, ru",52.74,65,0,3.2
617,618,"hobyo, so",72.54,90,56,14.83
618,619,"strezhevoy, ru",50.0,81,75,8.95
619,620,"umtata, za",44.6,81,0,1.12
620,621,"rovaniemi, fi",53.6,93,0,10.29
621,622,"alekseyevsk, ru",63.54,61,0,3.53
622,623,"udayagiri, in",72.63,81,92,12.37
623,624,"sao filipe, cv",77.22,96,88,10.69
624,625,"burriana, es",77.0,61,0,3.36
625,626,"gazanjyk, tm",84.6,30,68,6.22
626,627,"kimbe, pg",83.16,98,36,2.86
627,628,"bilma, ne",76.41,52,0,10.25
628,629,"mattru, sl",71.19,99,88,2.42
629,630,"rosario, ar",44.6,93,0,4.99
630,631,"aligudarz, ir",62.19,54,44,3.65
631,632,"merauke, id",78.66,95,92,9.13
632,633,"visnes, no",58.33,87,76,17.22
633,634,"ocampo, mx",75.78,34,24,8.68
634,635,"winnemucca, us",75.2,10,1,10.29
635,636,"lingao, cn",87.12,88,48,3.76
636,637,"berlevag, no",52.56,100,92,3.98
637,638,"hongjiang, cn",85.05,78,36,3.65
638,639,"baillif, gp",77.0,88,0,5.82
639,640,"bulgan, mn",70.74,87,0,4.09
640,641,"boffa, gn",73.17,100,92,5.66
641,642,"pilar, ph",83.7,84,8,2.53
642,643,"bacoli, it",72.16,78,0,4.7
643,644,"iwaki, jp",95.0,50,75,9.17
644,645,"lexington, us",72.93,94,1,4.65
645,646,"akdepe, tm",85.5,17,0,16.11
646,647,"ihosy, mg",48.06,99,80,2.53
647,648,"champua, in",79.74,94,48,9.8
648,649,"cheremkhovo, ru",63.09,86,92,5.99
649,650,"monduli, tz",60.06,93,75,9.17
650,651,"edinburg, us",84.13,66,1,11.41
651,652,"sibolga, id",73.8,94,44,2.3
652,653,"thanh hoa, vn",80.19,95,92,9.46
653,654,"vila do maio, cv",77.0,83,40,12.75
654,655,"soe, id",83.79,44,0,0.74
655,656,"songjianghe, cn",77.04,79,32,3.98
656,657,"malindi, ke",76.05,83,44,13.27
657,658,"tupi paulista, br",65.43,97,100,4.43
658,659,"svit, sk",57.2,87,20,3.36
659,660,"mehamn, no",51.39,100,92,4.76
660,661,"vostok, ru",70.92,67,88,2.19
661,662,"truro, ca",69.8,100,75,3.36
662,663,"neiafu, to",75.2,60,75,9.17
663,664,"filadelfia, py",55.8,52,92,3.2
664,665,"surt, ly",77.58,100,0,9.69
665,666,"zharkovskiy, ru",63.9,82,64,10.25
666,667,"mosquera, co",53.6,87,90,6.93
667,668,"taylor, us",73.4,88,1,3.36
668,669,"nanakuli, us",81.95,69,90,9.17
669,670,"natal, br",77.0,78,20,9.17
670,671,"amuntai, id",84.15,75,0,3.09
671,672,"yarada, in",82.89,98,36,21.77
672,673,"yekaterinogradskaya, ru",64.4,72,40,4.47
673,674,"kamaishi, jp",71.6,100,75,2.24
674,675,"gold coast, au",69.8,64,0,8.05
675,676,"kendari, id",84.51,64,56,4.99
676,677,"chipata, zm",50.49,82,0,6.44
677,678,"tucupita, ve",77.58,86,48,7.9
678,679,"altay, cn",61.11,66,36,0.96
679,680,"agogo, gh",66.78,93,12,7.78
680,681,"stavern, no",62.73,63,40,5.82
681,682,"port augusta, au",64.4,42,75,24.16
682,683,"opuwo, na",52.38,65,8,3.53
683,684,"bambanglipuro, id",80.64,54,44,8.9
684,685,"rafraf, tn",70.59,83,40,2.24
685,686,"casal di principe, it",72.32,78,0,4.7
686,687,"ikere, ng",71.46,92,92,6.78
687,688,"sinegorye, ru",52.02,100,92,2.64
688,689,"venado tuerto, ar",42.21,68,12,9.69
689,690,"rebrikha, ru",68.04,65,8,7.67
690,691,"palana, ru",53.73,87,88,5.44
691,692,"laukaa, fi",60.8,82,0,6.93
692,693,"anchorage, us",68.59,56,90,12.75
693,694,"la palma, pa",77.04,100,92,2.75
694,695,"santa cruz, cr",75.2,94,0,4.7
695,696,"sikandra rao, in",84.69,81,76,7.56
696,697,"bonthe, sl",74.88,97,92,3.2
697,698,"jaen, pe",59.13,93,68,0.74
698,699,"lewistown, us",77.07,83,40,6.93
699,700,"warwick, au",65.52,79,0,8.68
700,701,"abha, sa",63.45,88,24,4.7
701,702,"bambari, cf",67.41,98,76,2.86
702,703,"kormilovka, ru",57.2,58,0,4.47
703,704,"anta, pe",48.2,57,20,3.36
704,705,"dzialdowo, pl",65.61,84,88,7.23
705,706,"eyl, so",76.32,83,32,19.86
706,707,"arroyo, us",65.55,94,1,3.65
707,708,"wilmington island, us",79.07,83,1,5.82
708,709,"san carlos de bariloche, ar",42.8,87,75,17.22
709,710,"sol-iletsk, ru",68.94,84,68,5.21
710,711,"gra liyia, gr",80.6,69,40,19.46
711,712,"nishihara, jp",92.19,53,1,5.82
712,713,"oktyabrskoye, ru",55.62,75,0,4.99
713,714,"tunceli, tr",61.57,52,0,4.7
714,715,"katherine, au",87.8,35,0,8.05
715,716,"porto walter, br",74.7,92,8,0.4
716,717,"grants, us",75.2,27,1,5.82
717,718,"ewa beach, us",81.93,58,75,11.41
718,719,"copiapo, cl",53.6,81,0,2.24
719,720,"valparaiso, us",77.09,69,1,3.36
720,721,"sarh, td",71.6,88,20,5.66
721,722,"suluq, ly",69.48,70,0,5.66
722,723,"chapada dos guimaraes, br",69.8,77,75,10.29
723,724,"cockburn town, tc",81.54,100,88,19.08
724,725,"comodoro rivadavia, ar",55.4,54,0,8.05
725,726,"tabou, ci",77.22,100,0,10.69
726,727,"khandyga, ru",71.01,63,20,3.53
727,728,"ayacucho, pe",39.42,100,76,2.3
728,729,"tondano, id",91.4,46,20,9.17
729,730,"guarapari, br",71.6,88,0,3.36
730,731,"kharar, in",82.44,90,68,4.43
731,732,"fort nelson, ca",77.0,47,40,2.19
732,733,"ocos, gt",77.0,94,90,10.02
733,734,"khakhea, bw",55.62,54,12,2.98
734,735,"jining, cn",86.76,84,80,10.25
735,736,"sembakung, id",86.31,75,20,2.86
736,737,"kadaya, ru",69.12,88,0,3.65
737,738,"lydenburg, za",51.12,60,0,2.86
738,739,"meulaboh, id",79.29,100,64,2.53
739,740,"melnikovo, ru",56.25,85,0,5.21
740,741,"svetlaya, ru",66.33,88,48,7.56
741,742,"sao caetano de odivelas, br",80.01,100,68,14.05
742,743,"lensk, ru",59.94,55,0,3.42
743,744,"intipuca, sv",82.62,98,44,3.87
744,745,"nouadhibou, mr",70.56,86,0,19.53
745,746,"chapais, ca",64.4,93,1,6.93
746,747,"maceio, br",66.2,93,40,3.36
747,748,"cabedelo, br",71.6,94,20,4.7
748,749,"hojslev, dk",59.0,77,36,11.41
749,750,"huty, ua",68.31,77,36,4.65
750,751,"jishui, cn",90.99,73,32,4.21
751,752,"teguldet, ru",59.31,71,0,5.99
752,753,"danesti, ro",50.58,89,8,1.86
753,754,"sinnamary, gf",80.28,99,68,11.03
754,755,"nicolas bravo, mx",75.2,23,5,9.17
755,756,"bani, do",81.27,100,68,19.64
756,757,"launceston, au",57.2,62,75,24.16
757,758,"paracatu, br",73.08,52,92,4.21
758,759,"verkh-usugli, ru",68.31,79,88,3.42
759,760,"maragogi, br",71.73,95,92,4.76
760,761,"llanes, es",54.09,85,0,1.86
761,762,"kulachi, pk",87.84,54,0,3.42
762,763,"miami, us",82.0,83,75,6.93
763,764,"rock springs, us",73.4,17,90,8.05
